City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,82.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
4,Atuona,PF,78.78,scattered clouds,-9.8,-139.03,Villa Enata
6,Alofi,NU,82.4,scattered clouds,-19.06,-169.92,Taloa Heights
9,Hilo,US,75.99,light rain,19.73,-155.09,Hilo Hawaiian Hotel
12,Faanui,PF,80.67,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Farafenni,GM,76.32,clear sky,13.57,-15.6,Eddy's Hotel
14,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,Pousada Porto Praia
16,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
17,Sotouboua,TG,78.8,clear sky,8.57,0.98,Hôtel Les Pros
20,Ambilobe,MG,76.69,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
21,Hithadhoo,MV,81.16,overcast clouds,-0.6,73.08,Scoop Guest House
22,Bonthe,SL,78.75,few clouds,7.53,-12.51,Bonthe Holiday Village
27,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
29,Cairns,AU,78.8,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
32,Saint-Leu,RE,75.2,broken clouds,-21.15,55.28,La Caz Oceane
35,Ixtapa,MX,82.4,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
36,Meulaboh,ID,76.37,overcast clouds,4.14,96.13,Kost Pria
37,Mar Del Plata,AR,78.8,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
38,Dingle,PH,75.94,moderate rain,11.0,122.67,SEGAYA PROPERTY
41,Avarua,CK,80.6,light rain,-21.21,-159.78,Paradise Inn
44,Guarapari,BR,78.8,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
62,Marica,BR,86.0,few clouds,-22.92,-42.82,Marica Hills
63,Majene,ID,78.87,moderate rain,-3.54,118.97,Kost Putri RABBANI
70,Tiarei,PF,86.0,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
72,Rikitea,PF,75.45,light rain,-23.12,-134.97,Pension Maro'i
74,Vila Velha,BR,78.8,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
78,Tamandare,BR,78.33,broken clouds,-8.76,-35.1,Pousada 100 Passos
84,Salalah,OM,77.0,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
85,Cabo San Lucas,MX,84.2,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
86,Alice Springs,AU,91.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
92,Ahuimanu,US,82.4,scattered clouds,21.44,-157.84,Paradise Bay Resort
94,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
95,Mazamari,PE,80.35,light rain,-11.33,-74.53,Hospedaje Ratto
99,Sao Joao Da Barra,BR,78.8,clear sky,-21.64,-41.05,Pousada Porto De Canoas
104,Rabaul,PG,82.53,light rain,-4.2,152.17,Rabaul Hotel
105,Katiola,CI,80.6,broken clouds,8.13,-5.1,Hôtel le Prestige du Bas fond
107,Saint-Philippe,RE,75.2,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
110,Vicuna,CL,78.01,clear sky,-30.03,-70.71,Los Mosaicos
112,Buala,SB,84.51,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
115,Praya,CV,75.2,scattered clouds,14.92,-23.51,LT Aparthotel
124,Tres Arroyos,AR,85.48,clear sky,-38.37,-60.28,Habitacion Triple con baño y entrada privada
129,Tecoanapa,MX,84.38,clear sky,16.52,-98.75,Hotel Manglares
138,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
145,Butaritari,KI,81.75,scattered clouds,3.07,172.79,Isles Sunset Lodge
146,Sawakin,SD,78.06,light rain,19.11,37.33,فندق الدويم
149,Isangel,VU,78.8,few clouds,-19.55,169.27,Volcano Sea View Tree House
153,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
159,Nabire,ID,76.35,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
160,Fort Wellington,GY,78.98,clear sky,6.4,-57.6,TE'AMO Entertainment Park
163,Morada Nova,BR,83.1,overcast clouds,-5.11,-38.37,PIZZARIA MARIANA
172,Finschhafen,PG,78.1,light rain,-6.6,147.87,Cossam Guest House
180,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
188,Samarai,PG,80.15,broken clouds,-10.62,150.67,Nuli Sapi
191,Minna,NG,79.66,clear sky,9.61,6.56,Royal Park hotel & suites
193,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
202,Kavieng,PG,83.34,light rain,-2.57,150.8,Nusa Island Retreat
204,Emerald,AU,75.2,overcast clouds,-23.53,148.17,The Irish Village
207,Tagusao,PH,80.22,overcast clouds,9.19,117.81,Toledo
208,Nicoya,CR,86.0,scattered clouds,10.15,-85.45,Guayacan Real
212,Lobito,AO,77.4,overcast clouds,-12.35,13.55,Casa Rosa Hotel Residence
214,Dwarka,IN,75.43,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
216,Malindi,KE,80.13,light rain,-3.22,40.12,African House Resort
235,Puerto Quijarro,BO,90.03,broken clouds,-17.78,-57.77,Hotel palance
236,Nueva Granada,CO,80.96,light rain,9.8,-74.39,Hospedaje Esquimal
241,Sao Filipe,CV,75.78,scattered clouds,14.9,-24.5,Tortuga B&B
242,Iralaya,HN,80.26,clear sky,15.0,-83.23,Iglesia morava renovada
245,Harlingen,US,84.99,broken clouds,26.19,-97.7,Courtyard by Marriott Harlingen
249,Flinders,AU,84.99,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
254,Kununurra,AU,82.4,broken clouds,-15.77,128.73,Hotel Kununurra
255,Frontera,MX,78.4,clear sky,26.93,-101.45,Fiesta Inn Monclova
257,Bubaque,GW,83.34,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
261,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
266,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
272,Bontang,ID,75.6,moderate rain,0.13,117.5,Okra Leaf Guest House Syariah
275,Bang Saphan,TH,78.58,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
277,Soyo,AO,78.57,overcast clouds,-6.13,12.37,Hotel Mpampa
284,Puerto Escondido,MX,86.0,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
287,Champerico,GT,91.4,thunderstorm,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
288,Balikpapan,ID,75.2,overcast clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
294,Abonnema,NG,77.47,clear sky,4.71,6.79,Corper's Lodge Obonoma
297,Cabrobo,BR,84.9,overcast clouds,-8.51,-39.31,Hotel Limarques
299,Yendi,GH,86.29,broken clouds,9.44,-0.01,Eyarro Lodge
306,Gunnedah,AU,78.8,clear sky,-30.98,150.25,Gunnedah Motor Inn
308,Singapore,SG,80.6,broken clouds,1.29,103.85,The Fullerton Hotel Singapore
309,Madang,PG,77.05,overcast clouds,-5.22,145.8,Comfort Inn Hotel
311,Jalpan,MX,85.14,clear sky,21.23,-99.48,Hotel Mision Jalpan
313,Maceio,BR,77.0,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
329,Honiara,SB,82.4,few clouds,-9.43,159.95,Heritage Park Hotel
330,San Lorenzo,PY,91.4,clear sky,-25.33,-57.53,Canarias Hotel
333,Mogadishu,SO,80.1,moderate rain,2.04,45.34,Hotel Juba
334,Kavaratti,IN,81.25,light rain,10.57,72.64,Hotels in Lakshadweep Islands
335,Paragominas,BR,75.63,overcast clouds,-2.97,-47.48,.
336,Labuhan,ID,79.09,overcast clouds,-6.88,112.21,bador sepret
339,Bahia Blanca,AR,93.36,clear sky,-38.72,-62.27,Hotel Argos
