City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vila,PT,42.03,-8.16,46.0,91,0,1.01,clear sky
1,Ribeira Grande,PT,38.52,-28.7,57.2,50,40,3.36,scattered clouds
2,Vaini,TO,-21.2,-175.2,82.4,83,40,19.46,scattered clouds
3,Worthington,US,40.09,-83.02,51.01,61,90,4.7,overcast clouds
4,Atuona,PF,-9.8,-139.03,78.78,71,32,19.08,scattered clouds
5,Hirado,JP,33.36,129.55,50.0,57,75,20.8,broken clouds
6,Alofi,NU,-19.06,-169.92,82.4,88,40,9.17,scattered clouds
7,Talcahuano,CL,-36.72,-73.12,62.6,67,0,18.34,clear sky
8,Punta Arenas,CL,-53.15,-70.92,42.8,70,75,32.21,broken clouds
9,Hilo,US,19.73,-155.09,75.99,78,75,6.93,light rain
10,Port Elizabeth,ZA,-33.92,25.57,64.4,77,84,19.46,broken clouds
11,Zhangye,CN,38.93,100.45,21.24,88,0,4.92,clear sky
12,Faanui,PF,-16.48,-151.75,80.67,74,90,3.18,overcast clouds
13,Farafenni,GM,13.57,-15.6,76.32,18,0,8.21,clear sky
14,Arraial Do Cabo,BR,-22.97,-42.03,77.0,83,40,18.34,scattered clouds
15,Barrow,US,71.29,-156.79,6.8,77,90,10.29,light snow
16,Kapaa,US,22.08,-159.32,80.6,69,40,19.46,scattered clouds
17,Sotouboua,TG,8.57,0.98,78.8,78,0,4.16,clear sky
18,Verkhnyaya Inta,RU,65.98,60.31,8.98,93,0,2.89,clear sky
19,Ushuaia,AR,-54.8,-68.3,37.4,86,75,28.86,light intensity shower rain
20,Ambilobe,MG,-13.2,49.05,76.69,80,74,5.7,broken clouds
21,Hithadhoo,MV,-0.6,73.08,81.16,77,85,11.14,overcast clouds
22,Bonthe,SL,7.53,-12.51,78.75,82,18,6.17,few clouds
23,Aksu,CN,41.12,80.26,27.61,78,99,1.25,overcast clouds
24,New Norfolk,AU,-42.78,147.06,62.01,53,100,3.0,moderate rain
25,Motygino,RU,58.18,94.76,6.13,90,0,1.41,clear sky
26,Nikolskoye,RU,59.7,30.79,35.6,96,75,8.95,broken clouds
27,Mahebourg,MU,-20.41,57.7,75.2,83,75,11.41,shower rain
28,Lyngseidet,NO,69.58,20.22,39.99,80,20,25.28,few clouds
29,Cairns,AU,-16.92,145.77,78.8,69,40,9.17,scattered clouds
30,Portneuf,CA,46.69,-71.89,37.99,93,100,2.24,overcast clouds
31,Yei,SS,4.09,30.68,70.7,76,37,3.36,scattered clouds
32,Saint-Leu,RE,-21.15,55.28,75.2,73,75,2.24,broken clouds
33,Albany,US,42.6,-73.97,48.99,72,100,2.66,overcast clouds
34,Qaanaaq,GL,77.48,-69.36,-3.57,86,100,4.32,overcast clouds
35,Ixtapa,MX,20.7,-105.2,82.4,74,20,12.75,few clouds
36,Meulaboh,ID,4.14,96.13,76.37,86,100,2.46,overcast clouds
37,Mar Del Plata,AR,-38.0,-57.56,78.8,36,0,16.11,clear sky
38,Dingle,PH,11.0,122.67,75.94,93,65,7.74,moderate rain
39,Ancud,CL,-41.87,-73.82,57.99,93,90,14.99,light intensity shower rain
40,Kyzyl-Suu,KG,42.34,78.01,35.35,77,100,3.04,overcast clouds
41,Avarua,CK,-21.21,-159.78,80.6,69,89,19.46,light rain
42,Jalu,LY,29.03,21.55,55.71,70,0,4.81,clear sky
43,Chuy,UY,-33.7,-53.46,66.9,76,0,11.95,clear sky
44,Guarapari,BR,-20.67,-40.5,78.8,74,40,12.75,scattered clouds
45,Mataura,NZ,-46.19,168.86,54.0,60,100,5.01,overcast clouds
46,Bluff,NZ,-46.6,168.33,54.0,60,100,5.01,overcast clouds
47,Yushan,CN,31.38,120.95,48.99,75,0,11.18,clear sky
48,Esperance,AU,-33.87,121.9,53.6,100,75,13.87,broken clouds
49,Ulaangom,MN,49.98,92.07,12.13,92,100,4.14,overcast clouds
50,Zhezkazgan,KZ,47.8,67.71,24.04,98,100,8.32,snow
51,Morros,BR,-9.45,-46.3,77.41,69,100,3.31,moderate rain
52,Lyaskelya,RU,61.77,31.02,29.41,97,62,7.58,broken clouds
53,Pokhara,NP,28.23,83.98,57.02,32,0,4.68,clear sky
54,Aleksandrov Gay,RU,50.15,48.57,32.49,96,100,11.81,overcast clouds
55,Jamestown,US,42.1,-79.24,45.0,70,90,6.93,overcast clouds
56,Okhotsk,RU,59.38,143.3,3.29,87,73,18.12,broken clouds
